# bin   nf ann       flux      r      th        V      Ve      sig   sige       h3    h3e      h4    h4e      h5    h5e      h6    h6e   rmin   rmax   thmin   thmax
    1    1   0    94941.6   1.54   -9.18    47.88    4.82   238.89   7.07   0.0166 0.0250  0.0008 0.0289  0.0022 0.0276  0.0275 0.0254    nan    nan     nan     nan
    2    1   0    86977.1   2.81  166.40    79.35    5.02   235.99   6.28  -0.0497 0.0227 -0.0203 0.0310  0.0642 0.0270  0.0534 0.0288    nan    nan     nan     nan
    3    2   1    33913.6   4.59  121.05    76.38    5.86   224.24   9.63   0.0705 0.0354  0.0073 0.0466 -0.0046 0.0337  0.0303 0.0417   3.14   6.82 -263.70 -218.70
    4    2   1    26277.9   5.63   57.05    67.75    7.73   228.19  12.33   0.0153 0.0413  0.0220 0.0496  0.0340 0.0397  0.0268 0.0470   3.14   6.82   51.30 -263.70
    5    2   1    25054.6   4.89   31.85    34.22    8.43   228.34  10.32   0.0237 0.0426 -0.0222 0.0435  0.0541 0.0433  0.0765 0.0428   3.14   6.82    6.30   51.30
    6    2   1    34039.4   4.53  -25.11    33.32    5.36   210.51   7.90  -0.0242 0.0301  0.0344 0.0371  0.0521 0.0323  0.0761 0.0369   3.14   6.82  -38.70    6.30
    7   49   2     7352.4  13.59  100.57    76.87    6.00   204.04   9.33   0.0250 0.0384  0.0328 0.0416  0.0169 0.0376  0.0729 0.0401   6.82  21.87   51.30 -218.70
    8   44   2     7392.1  13.65   -1.15    53.60    5.13   215.50   7.14   0.0307 0.0295  0.0514 0.0340  0.0262 0.0310 -0.0005 0.0321   6.82  21.87  -38.70   51.30
    9  361   3     1353.4  40.15  104.98    86.81   14.30   231.93  18.53   0.0092 0.0752 -0.0044 0.0852  0.1088 0.0717  0.0913 0.0783  21.87  76.89   51.30 -218.70
   10  269   3     1553.6  36.43   -0.59    50.07   12.07   235.92  10.18  -0.0175 0.0632 -0.0644 0.0597  0.2186 0.0697  0.0854 0.0713  21.87  76.89  -38.70   51.30
