# bin   nf ann       flux      r      th        V      Ve      sig   sige       h3    h3e      h4    h4e      h5    h5e      h6    h6e
    1    1   0   121518.5   1.46 -123.99    64.43    5.15   261.42   5.76  -0.0027 0.0211 -0.0003 0.0266  0.0211 0.0268  0.0535 0.0273
    2    1   0    51253.8   3.30   -6.69    45.78    7.34   255.00   8.81   0.0213 0.0302  0.0146 0.0359  0.0243 0.0345  0.0657 0.0361
    3    1   0    41981.6   3.33   85.17    60.17    8.37   278.07   9.07   0.0241 0.0324 -0.0079 0.0356  0.0098 0.0367  0.0645 0.0385
    4    1   0    49368.7   3.75  -88.75    60.42    7.32   242.61   9.20  -0.0266 0.0287  0.0183 0.0413  0.0284 0.0349  0.0549 0.0373
    5    3   1    30149.0   6.32   35.70    44.30    6.01   253.36  11.21   0.0390 0.0301  0.0844 0.0386  0.0196 0.0306 -0.0204 0.0364
    6    2   1    30033.8   5.35   -2.34    52.89    6.16   254.74   7.96   0.0148 0.0270 -0.0278 0.0325  0.0037 0.0338  0.0777 0.0346
    7    4   1    18873.0   6.81  -47.45    60.44    7.36   253.32  12.19  -0.0394 0.0301  0.0837 0.0373 -0.0031 0.0323  0.0408 0.0398
    8    2   1    25618.2   6.28  -99.86    53.71    8.73   252.71  10.29   0.0942 0.0305 -0.0093 0.0440 -0.0007 0.0377  0.1345 0.0371
    9   68   2     5621.1  16.32   24.09    42.72    6.42   287.17   8.79  -0.0006 0.0216  0.0904 0.0273  0.0885 0.0264 -0.0202 0.0247
   10   59   2     5418.0  16.03  -71.40    76.33    6.43   292.09   9.68   0.0163 0.0198  0.0865 0.0229  0.0382 0.0261  0.0402 0.0247
